Recipe Name, 칼로리, 단백질, 지방, 탄수화물, 나트륨
연어주먹밥튀김, 660.2, 6.56, 6.75, 25.1, 537.1
오징어불고기김밥, 452.2, 13.9, 3.42, 14.5, 244.4
닭가슴살청포묵비빔밥, 421.5, 5.19, 1.27, 28.1, 104
족발수육, 282.2, 22.2, 14.3, 16.2, 471.7
함초떡갈비, 254.1, 19.8, 16.9, 5.7, 210.5
삼색소면, 168.1, 8.5, 1.8, 29.4, 437.6
돼지수육맑은전골, 120.3, 0.6, 8.8, 9.6, 147.7
채소비빔밥, 303.9, 10.4, 10.8, 41.2, 189.2
열무김치파스타, 270.4, 6.6, 8.4, 42.1, 371
해초갈비찜, 288.6, 31.1, 16, 5.2, 604.7
버섯곤드레밥, 250.2, 8.8, 3.7, 45.6, 196.6
바다향이 풍부한 전복죽, 220.4, 8.7, 5.5, 34.1, 95.8
주꾸미연포탕, 90.3, 12.3, 1.5, 6.9, 280.6
함초소고기말이, 360.9, 16.3, 27.8, 11.4, 269.5
묵계밥, 227.9, 7, 2.8, 43.7, 82.3
근채류주먹밥, 117.3, 2.4, 0.8, 25.2, 11.3
단호박약식, 152.2, 3.1, 0.8, 33.1, 64.7
달콤스테이크, 175.1, 19.2, 7.1, 8.7, 147.7
삼색샌드위치, 356.4, 14.1, 12.4, 47.9, 497.3
황태탕수육, 274.4, 17.1, 17, 13.2, 365.3
밥핫도그, 828.9, 22.1, 49.4, 74, 774.5
스테이크카나페, 458.7, 30.6, 30.6, 15.7, 312.5
꽃밥, 480.7, 23.2, 173.9, 56.8, 272.6
버섯만두찜, 301.8, 17.8, 10.3, 34.5, 382.2
떡갈비주먹밥, 557.1, 29, 21, 63.1, 462.3
홍합죽, 160.9, 7.1, 1.9, 28.9, 42
샐러드돈가스, 422.5, 15.7, 30.8, 20.5, 269.9
조개크림파스타, 224.2, 10.9, 4, 36.2, 102.5
닭날개튀김, 596.6, 32.4, 41, 24.4, 426.6
해산물리조또, 306.8, 16.7, 5.4, 47.7, 237.7
떡완자조림, 484.1, 34.3, 12.2, 59.2, 519.8
닭고기채소스파게티, 277.8, 14.7, 5.7, 42, 174.1
계만두, 338.1, 15.5, 6.41, 8.43, 248.7
삼계선, 281.5, 16.1, 1.65, 8.03, 83.5
쇠고기표고찜, 96.8, 7, 1.94, 10.8, 64.3
떡갈비찜, 316.2, 10.2, 6.19, 29.2, 264.9
해산물두부샌드, 93.7, 8.94, 5.22, 5.64, 57.3
단호박제육볶음, 268.6, 13.4, 7.89, 10.5, 444.3
버섯콩불고기, 323.8, 11.2, 8.51, 13.5, 494.7
차돌박이볶음, 581.7, 8.22, 33.2, 8.54, 527.9
토마토오리볶음, 275.5, 18.5, 17.5, 11.1, 161.9
토마토두루치기, 344.4, 11.5, 9.99, 9.64, 292.7
검은콩피시볼조림, 166.7, 13.8, 4.28, 16.1, 193.3
대하조림, 112, 10.5, 0.91, 5.72, 327.2
묵은지가지말이, 312.2, 9.66, 17, 7.35, 141
함초타락죽, 354.3, 10.5, 6.5, 63.6, 251.6
황태두부무국, 53.5, 7.7, 2.1, 1, 298.5
삼합잡채, 160.4, 22.9, 5.9, 3.8, 155.9
고등어카레탕수, 171.3, 7.5, 8.8, 15.5, 254.7
효도강정, 370, 7.5, 14.1, 53.2, 45.5
비트양파김치, 28, 1.8, 0.1, 4.9, 42.5
관자브로콜리스프, 277.4, 12.3, 19.4, 13.4, 210.3
곤약잡채, 49.3, 1.6, 2.8, 4.4, 75.2
미역 닭가슴살전, 234.1, 17.7, 11.9, 14, 284.5
두가지묵샐러드, 53.6, 1, 1.2, 9.7, 109.2
블루베리양갱, 142.4, 8, 3.3, 20.3, 32.2
장어찜, 328.3, 20.4, 26.5, 2.1, 74.7
두부까나페, 236, 13.3, 20.2, 0.1, 287.6
두부청국장죽, 255.1, 16.3, 4.4, 37.6, 118.2
망고샐러드, 105.7, 1.9, 4, 15.5, 50.3
토마토젤리, 200.5, 401, 0.2, 45.4, 36.7
샌드스테이크, 341.4, 48.2, 12.2, 9.7, 564.3
맥적구이, 467.7, 30.7, 30.5, 17.6, 551.7
채소어묵, 382.5, 26.7, 12.9, 39.89, 320.1
주꾸미보리죽, 327.4, 21.8, 5, 48.7, 172.7
오렌지삼겹찜, 638.1, 26.7, 49.2, 22, 206
